date,uk house prices,uk cost of living,uk housing shortage,uk inflation
2017-09,22,10,0,29
2017-09,22,6,0,17
2017-09,23,7,0,17
2017-10,21,8,0,19
2017-10,26,8,0,26
2017-10,26,8,1,39
2017-10,26,7,1,20
2017-10,24,6,1,20
2017-11,25,7,0,24
2017-11,20,8,0,29
2017-11,22,8,0,20
2017-11,19,7,1,17
2017-12,21,7,0,20
2017-12,23,6,0,27
2017-12,21,7,0,19
2017-12,24,7,0,13
2017-12,27,8,0,22
2018-01,26,11,0,25
2018-01,25,10,2,26
2018-01,22,12,0,25
2018-01,24,10,0,19
2018-02,22,8,0,25
2018-02,21,8,1,26
2018-02,18,10,0,22
2018-02,17,10,1,18
2018-03,20,11,1,23
2018-03,23,10,0,22
2018-03,24,12,0,27
2018-03,23,11,0,24
2018-04,20,9,1,19
2018-04,24,6,0,20
2018-04,20,8,0,28
2018-04,22,9,1,24
2018-04,21,8,0,18
2018-05,24,9,0,20
2018-05,22,10,0,18
2018-05,22,8,<1,21
2018-05,28,7,0,13
2018-06,21,6,1,14
2018-06,22,9,0,21
2018-06,22,7,1,18
2018-06,18,10,0,16
2018-07,18,9,0,11
2018-07,21,6,0,18
2018-07,19,9,<1,21
2018-07,22,7,0,19
2018-07,27,11,0,18
2018-08,25,7,0,15
2018-08,29,9,0,20
2018-08,22,9,0,16
2018-08,25,9,0,19
2018-09,21,9,0,19
2018-09,26,9,0,23
2018-09,28,10,0,20
2018-09,25,9,1,20
2018-09,24,7,0,20
2018-10,24,7,1,21
2018-10,21,8,0,25
2018-10,21,7,1,18
2018-10,18,9,0,21
2018-11,21,6,0,20
2018-11,20,9,0,23
2018-11,22,5,1,19
2018-11,24,6,1,18
2018-12,21,8,1,18
2018-12,18,8,1,22
2018-12,18,5,0,18
2018-12,19,6,0,12
2018-12,28,8,1,17
2019-01,25,9,0,25
2019-01,25,11,0,27
2019-01,24,10,0,19
2019-01,27,9,1,20
2019-02,24,9,0,19
2019-02,20,10,0,21
2019-02,20,9,0,21
2019-02,19,8,0,22
2019-03,19,8,0,21
2019-03,21,10,0,18
2019-03,16,8,0,23
2019-03,17,11,<1,21
2019-03,17,8,0,21
2019-04,16,9,0,19
2019-04,18,8,0,17
2019-04,17,9,0,21
2019-04,22,8,0,21
2019-05,19,10,0,17
2019-05,21,9,1,18
2019-05,19,9,0,19
2019-05,21,8,1,13
2019-06,16,6,0,17
2019-06,20,8,0,15
2019-06,19,7,0,15
2019-06,17,10,0,16
2019-06,21,7,0,19
2019-07,22,9,0,16
2019-07,21,9,2,19
2019-07,26,9,0,17
2019-07,23,9,0,15
2019-08,27,9,0,14
2019-08,24,9,2,21
2019-08,22,8,0,19
2019-08,21,9,0,15
2019-09,23,9,0,19
2019-09,25,10,0,22
2019-09,21,9,<1,19
2019-09,21,9,0,17
2019-09,19,9,0,20
2019-10,17,10,0,20
2019-10,15,10,0,20
2019-10,18,7,1,16
2019-10,17,8,0,15
2019-11,17,9,1,22
2019-11,16,10,0,21
2019-11,15,8,0,21
2019-11,16,11,0,24
2019-12,15,8,0,22
2019-12,16,7,0,18
2019-12,20,8,1,20
2019-12,17,7,0,13
2019-12,24,8,0,21
2020-01,24,12,0,24
2020-01,21,11,0,26
2020-01,25,9,0,23
2020-01,23,8,0,23
2020-02,23,9,0,24
2020-02,24,9,0,21
2020-02,23,11,0,26
2020-02,20,8,1,21
2020-03,21,9,0,23
2020-03,33,9,<1,22
2020-03,48,5,0,18
2020-03,42,3,0,15
2020-03,42,5,1,16
2020-04,41,8,0,15
2020-04,52,6,0,16
2020-04,42,7,0,19
2020-04,41,7,1,17
2020-05,42,6,0,15
2020-05,53,6,0,19
2020-05,50,8,0,20
2020-05,42,8,0,13
2020-05,50,7,0,14
2020-06,49,6,0,17
2020-06,43,5,<1,17
2020-06,44,7,0,15
2020-06,44,8,0,18
2020-07,46,7,0,14
2020-07,36,7,0,18
2020-07,40,11,0,16
2020-07,34,8,0,14
2020-08,39,8,<1,16
2020-08,44,7,1,16
2020-08,34,9,0,20
2020-08,28,9,1,17
2020-08,30,9,0,12
2020-09,33,9,<1,19
2020-09,28,11,1,20
2020-09,26,7,0,19
2020-09,27,9,0,18
2020-10,26,7,0,18
2020-10,24,6,1,14
2020-10,28,7,0,19
2020-10,28,8,1,15
2020-11,22,7,0,15
2020-11,27,7,0,18
2020-11,26,7,0,22
2020-11,24,9,0,20
2020-11,25,7,0,16
2020-12,22,7,0,14
2020-12,21,7,<1,13
2020-12,20,6,0,13
2020-12,30,5,0,15
2021-01,31,7,0,19
2021-01,28,7,0,22
2021-01,27,8,0,21
2021-01,28,9,<1,21
2021-01,28,8,<1,20
2021-02,26,7,0,20
2021-02,25,8,0,22
2021-02,25,11,1,23
2021-02,25,9,<1,39
2021-03,26,9,0,25
2021-03,25,8,0,19
2021-03,28,7,<1,25
2021-03,24,8,0,18
2021-04,30,7,0,17
2021-04,23,8,0,19
2021-04,30,9,1,23
2021-04,29,7,0,19
2021-05,27,8,0,20
2021-05,26,8,<1,28
2021-05,26,7,0,29
2021-05,26,10,0,23
2021-05,28,7,0,17
2021-06,28,10,0,21
2021-06,24,8,0,22
2021-06,26,8,0,20
2021-06,26,9,1,21
2021-07,31,10,0,17
2021-07,26,8,0,24
2021-07,23,9,1,26
2021-07,27,11,<1,20
2021-08,25,10,1,22
2021-08,24,9,0,19
2021-08,25,8,1,20
2021-08,24,10,0,20
2021-08,27,9,0,22
2021-09,23,10,0,24
2021-09,28,8,0,34
2021-09,26,11,0,34
2021-09,29,11,1,28
2021-10,30,10,0,40
2021-10,27,9,0,35
2021-10,26,11,2,38
2021-10,24,10,0,34
2021-10,26,8,0,28
2021-11,22,9,<1,36
2021-11,23,10,0,46
2021-11,21,11,0,28
2021-11,22,8,0,31
2021-12,23,8,0,34
2021-12,20,8,0,48
2021-12,18,8,1,27
2021-12,26,28,0,22
2022-01,27,12,0,40
2022-01,23,16,0,52
2022-01,25,16,0,69
2022-01,24,19,1,48
2022-01,32,18,0,59
2022-02,38,16,1,51
2022-02,25,19,<1,51
2022-02,24,16,0,42
2022-02,25,13,0,49
2022-03,31,20,1,49
2022-03,26,19,0,53
2022-03,29,24,0,63
2022-03,28,18,<1,52
2022-04,26,21,0,43
2022-04,24,22,0,58
2022-04,28,20,0,43
2022-04,28,21,1,49
2022-05,30,19,0,60
2022-05,35,22,0,53
2022-05,37,25,0,87
2022-05,31,41,0,53
2022-05,28,27,0,42
2022-06,29,31,<1,56
2022-06,35,36,0,68
2022-06,33,33,0,88
2022-06,36,31,1,50
2022-07,31,37,1,57
2022-07,27,59,0,56
2022-07,29,42,1,66
2022-07,28,32,0,51
2022-07,46,33,<1,62
2022-08,40,39,1,54
2022-08,41,39,0,83
2022-08,45,52,<1,100
2022-08,42,59,1,71
2022-09,32,63,0,77
